Computer Name,Logged On Users,Domain,Category,File Types,Logical Drive,Count,Memory
IP-NB21,i.colombo,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,2,22.18 GB
IP-DK04,BGBoard1700,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,2,141.0 KB
IP-NB29,C.Pappada,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,2,2.58 GB
IP-DK18,j.gellera,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,2,747.86 MB
IP-DK16,ipplotter,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,2,2.76 KB
IP-NB09,s.manoli,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,2,807.82 KB
IP-NB23,d.dozio,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,2,5.05 GB
IP-DK15,flex,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,2,6.21 KB
IP-DK13,bgboard2,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,2,2.76 KB
IP-DK21,as.aledi,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,2,10.25 GB
IP-DK13,bgboard2,IMBALLAGGI,PowerPoint,"ppt, pptxpptm, odp",ALL,2,141.0 KB
IP-CV02,s.donati,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,2,5.9 GB
IP-DK12,ip-remote-pc-hp,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,1,16.04 MB
IP-DK23,,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,1,2.33 GB
IP-DK31,,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,1,1.83 GB
IP-NB27,l.daliesio,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,1,1.58 GB
IP-NB32,m.morlacchi,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,1,381.88 MB
IP-DK28,,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,1,5.78 GB
IP-DK04,BGBoard1700,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,1,1.48 GB
IP-NB01,,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,1,3.37 GB
IP-DK32,d.dadamo,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,1,874.98 MB
IP-NB23,d.dozio,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,1,350.17 KB
IP-NB26,p.avallone,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,1,2.95 GB
IP-DK27,g.bianchi,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,1,1.03 GB
IP-NB25,a.braia,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,1,2.06 MB
ip-nb34,a.servi,IMBALLAGGI,Outlook Data Files,"pst, ost",ALL,1,31.95 MB
IP-DK19,team.leader,IMBALLAGGI,File CAD criptati,sbe,ALL,0,0 MB
IP-NB21,i.colombo,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,0,0 MB
IP-NB21,i.colombo,IMBALLAGGI,File CAD criptati,sbe,ALL,0,0 MB
IP-NB14,a.essawi,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,0,0 MB
IP-NB24,,IMBALLAGGI,File CAD criptati,sbe,ALL,0,0 MB
IP-NB14,a.essawi,IMBALLAGGI,File CAD criptati,sbe,ALL,0,0 MB
IP-NB24,,IMBALLAGGI,SolidWorks,"sldprt, sldasm, slddrw, sldprt, STEP, STP, SWAR",ALL,0,0 MB
IP-DK19,team.leader,IMBALLAGGI,Autocad Files,"dwg, mi, dxf",ALL,0,0 MB
